Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
260230,6 parks,Autobuss,69657,Esplanāde - Imanta 5,A 41,Back,23.11.2018 10:33:44,21
260231,5 parks,Tramvajs,57082,Imanta - Jugla,Tm 1,Back,23.11.2018 10:55:05,21
260232,2 parks,Trolejbuss,27145,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 11:43:34,21
260233,2 parks,Trolejbuss,26727,Brīvības iela - Iļģuciems,Tr 25,Back,23.11.2018 12:25:54,21
260234,6 parks,Autobuss,62463,Abrenes iela - Lāčupes kapi,A 39,Forth,23.11.2018 12:37:46,21
260235,6 parks,Autobuss,62463,Abrenes iela - Lāčupes kapi,A 39,Back,23.11.2018 12:52:31,21
260236,6 parks,Autobuss,67691,Abrenes iela - Dzirciema iela,A 38,Forth,23.11.2018 13:14:16,21
260237,6 parks,Autobuss,68161,Ziepnniekkalns - Zolitūde,A 46,Forth,23.11.2018 13:44:33,21
260238,6 parks,Autobuss,65089,Esplanāde - Imanta 5,A 37,Back,23.11.2018 14:27:03,21
260239,2 parks,Trolejbuss,29211,Stacijas laukums - Iļģuciems,Tr 9,Forth,23.11.2018 15:03:57,21
260240,6 parks,Autobuss,60061,Abrenes iela - Voleri,A 54,Back,23.11.2018 15:29:43,21
260241,6 parks,Autobuss,64311,Stacijas laukums - Daugavgrīva,A 30,Back,23.11.2018 16:00:17,21
260242,6 parks,Autobuss,67691,Abrenes iela - Dzirciema iela,A 38,Back,23.11.2018 16:29:33,21
260243,7 parks,Autobuss,72754,Abrenes iela - Mārupe,A 25,Back,23.11.2018 17:03:50,21
297177,2 parks,Trolejbuss,26629,Trolejbusa Parks - Maršruts,Tr 101,Forth,23.11.2018 09:08:29,12
297178,7 parks,Autobuss,79251,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 09:32:04,12
297179,6 parks,Autobuss,67144,Stacijas laukums - Zolitūde,A 8,Back,23.11.2018 09:42:22,12
297180,7 parks,Autobuss,74777,Abrenes iela - Mārupe,A 25,Back,23.11.2018 10:32:19,12
297181,7 parks,Autobuss,79164,Abrenes iela - Vecmīlgrāvis,A 2,Forth,23.11.2018 10:59:12,12
297182,7 parks,Autobuss,79591,Abrenes iela - Suži,A 11,Back,23.11.2018 12:18:13,12
297183,2 parks,Trolejbuss,29190,Centrālā stacija - Purvciems,Tr 23,Back,23.11.2018 13:05:53,12
297184,1 parks,Trolejbuss,16229,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 13:31:21,12
297185,1 parks,Trolejbuss,16109,Latv. Universitāte - Višķu,Tr 15,Back,23.11.2018 15:06:04,12
297186,6 parks,Autobuss,69700,Abrenes iela - Lidosta,A 22,Forth,23.11.2018 15:22:07,12
297187,6 parks,Autobuss,62463,Abrenes iela - Lāčupes kapi,A 39,Back,23.11.2018 19:17:37,12
297188,1 parks,Trolejbuss,16055,Latv. Universitāte - Višķu,Tr 15,Forth,23.11.2018 19:52:57,12
373459,1 parks,Trolejbuss,17714,E.Birznieka Upiša - Pļavnieki,Tr 22,Forth,23.11.2018 07:15:44,10
