stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
0445,,"Gustava Zemgala gatve",,56.96253,24.17099,https://saraksti.rigassatiksme.lv/index.html#stop/0445,,
0161,,"Ilūkstes iela",,56.95550,24.19729,https://saraksti.rigassatiksme.lv/index.html#stop/0161,,
0156,,"Ilūkstes iela",,56.95556,24.19890,https://saraksti.rigassatiksme.lv/index.html#stop/0156,,
0280,,"Mēbeļu nams",,56.95636,24.19119,https://saraksti.rigassatiksme.lv/index.html#stop/0280,,
0279,,"Mēbeļu nams",,56.95668,24.19113,https://saraksti.rigassatiksme.lv/index.html#stop/0279,,
0306,,"Nīcgales iela",,56.95969,24.17672,https://saraksti.rigassatiksme.lv/index.html#stop/0306,,
0371,,"Purvciems",,56.95433,24.20553,https://saraksti.rigassatiksme.lv/index.html#stop/0371,,
0372,,"Purvciems",,56.95478,24.20480,https://saraksti.rigassatiksme.lv/index.html#stop/0372,,
0309,,"Stirnu iela",,56.95899,24.18050,https://saraksti.rigassatiksme.lv/index.html#stop/0309,,
0450,,"Stirnu iela",,56.95860,24.18086,https://saraksti.rigassatiksme.lv/index.html#stop/0450,,
1165,,"Attīrīšanas iekārtas",,57.02888,23.99725,https://saraksti.rigassatiksme.lv/index.html#stop/1165,,
1177,,"Attīrīšanas iekārtas",,57.02955,23.99850,https://saraksti.rigassatiksme.lv/index.html#stop/1177,,
1168,,"Dzelmes iela",,57.01429,23.97749,https://saraksti.rigassatiksme.lv/index.html#stop/1168,,
1174,,"Dzelmes iela",,57.01455,23.97849,https://saraksti.rigassatiksme.lv/index.html#stop/1174,,
1163,,"Memmes pļava",,57.03509,24.01232,https://saraksti.rigassatiksme.lv/index.html#stop/1163,,
1179,,"Memmes pļava",,57.03500,24.01272,https://saraksti.rigassatiksme.lv/index.html#stop/1179,,
1166,,"Roņu iela",,57.02133,23.99277,https://saraksti.rigassatiksme.lv/index.html#stop/1166,,
1176,,"Roņu iela",,57.02156,23.99318,https://saraksti.rigassatiksme.lv/index.html#stop/1176,,
1169,,"Vētras iela",,57.01308,23.97513,https://saraksti.rigassatiksme.lv/index.html#stop/1169,,
1173,,"Vētras iela",,57.01293,23.97487,https://saraksti.rigassatiksme.lv/index.html#stop/1173,,
1167,,"Zēģeļu iela",,57.01789,23.98585,https://saraksti.rigassatiksme.lv/index.html#stop/1167,,
1175,,"Zēģeļu iela",,57.01768,23.98562,https://saraksti.rigassatiksme.lv/index.html#stop/1175,,
1164,,"Ziemeļupe",,57.03398,24.00362,https://saraksti.rigassatiksme.lv/index.html#stop/1164,,
1178,,"Ziemeļupe",,57.03422,24.00575,https://saraksti.rigassatiksme.lv/index.html#stop/1178,,
1118,,"Botāniskais dārzs",,56.95204,24.05391,https://saraksti.rigassatiksme.lv/index.html#stop/1118,,
1236,,"Botāniskais dārzs",,56.94968,24.05440,https://saraksti.rigassatiksme.lv/index.html#stop/1236,,
1126,,"Buļļu iela",,56.96695,24.05778,https://saraksti.rigassatiksme.lv/index.html#stop/1126,,
1235,,"Dārza iela",,56.95287,24.05353,https://saraksti.rigassatiksme.lv/index.html#stop/1235,,
1214,,"Dzirciema iela",,56.97797,24.05462,https://saraksti.rigassatiksme.lv/index.html#stop/1214,,
1212,,"Dzirciema iela 119",,56.97406,24.05583,https://saraksti.rigassatiksme.lv/index.html#stop/1212,,
1217,,"Dzirciema iela 119",,56.97404,24.05572,https://saraksti.rigassatiksme.lv/index.html#stop/1217,,
1233,,"Mazā Stacijas iela",,56.95958,24.05224,https://saraksti.rigassatiksme.lv/index.html#stop/1233,,
1215,,"Nordeka",,56.97681,24.05505,https://saraksti.rigassatiksme.lv/index.html#stop/1215,,
1119,,"Sēlpils iela/Donoru centrs",,56.95693,24.05248,https://saraksti.rigassatiksme.lv/index.html#stop/1119,,
1234,,"Sēlpils iela/Donoru centrs",,56.95615,24.05262,https://saraksti.rigassatiksme.lv/index.html#stop/1234,,
1124,,"Slokas iela",,56.96144,24.05387,https://saraksti.rigassatiksme.lv/index.html#stop/1124,,
0616,,"Vaidelotes iela",,56.96418,24.05568,https://saraksti.rigassatiksme.lv/index.html#stop/0616,,
0636,,"Vaidelotes iela",,56.96335,24.05526,https://saraksti.rigassatiksme.lv/index.html#stop/0636,,
2072,,"Dzirnavu iela",,56.94891,24.12561,https://saraksti.rigassatiksme.lv/index.html#stop/2072,,
1600,,"E.Birznieka-Upīša iela",,56.94864,24.12439,https://saraksti.rigassatiksme.lv/index.html#stop/1600,,
2071,,"Lāčplēša iela",,56.94978,24.13127,https://saraksti.rigassatiksme.lv/index.html#stop/2071,,
2075,,"Visvalža iela",,56.94917,24.12791,https://saraksti.rigassatiksme.lv/index.html#stop/2075,,
9090,,"Ē.Valtera iela",,56.94559,24.23705,https://saraksti.rigassatiksme.lv/index.html#stop/9090,,
0235,,"Langstiņi",,57.01006,24.32632,https://saraksti.rigassatiksme.lv/index.html#stop/0235,,
0237,,"Lapsukalni",,56.98702,24.33785,https://saraksti.rigassatiksme.lv/index.html#stop/0237,,
0236,,"Lapsukalni",,56.98716,24.33802,https://saraksti.rigassatiksme.lv/index.html#stop/0236,,
0192,,"Mediķu iela",,57.00384,24.33165,https://saraksti.rigassatiksme.lv/index.html#stop/0192,,
