VehicleMessageID,SentDate,VehicleID,SendingReason,Odometer,WGS84Fi,WGS84La,Delay,Gyro,Speed,ShiftID,TripID
869727765,2018-11-23 18:17:08.000,63,1,15320,"56,93489","24,16121",-1,318,44,466,416026
869728549,2018-11-23 18:17:46.000,63,10,15466,"56,93587","24,15965",-1,321,27,466,416026
869728789,2018-11-23 18:17:37.000,63,7,15424,"56,93559","24,16011",-1,321,0,466,416026
869729036,2018-11-23 18:17:29.000,63,8,15423,"56,93558","24,16012",-1,321,0,466,416026
869729098,2018-11-23 18:17:26.000,63,6,15423,"56,93559","24,16012",-1,321,0,466,416026
869729396,2018-11-23 18:17:14.000,63,12,15379,"56,93529","24,16057",-1,320,33,466,416026
869729666,2018-11-23 18:18:11.000,63,12,15730,"56,93776","24,15706",-1,323,39,466,416026
869730694,2018-11-23 18:18:39.000,63,10,15823,"56,93842","24,15614",-1,323,30,466,416026
869730874,2018-11-23 18:18:31.000,63,7,15776,"56,9381","24,15664",-1,321,0,466,416026
869731055,2018-11-23 18:18:24.000,63,6,15776,"56,9381","24,15664",-1,321,0,466,416026
869731089,2018-11-23 18:18:23.000,63,7,15776,"56,9381","24,15664",-1,321,0,466,416026
869731164,2018-11-23 18:18:21.000,63,6,15776,"56,9381","24,15663",-1,321,3,466,416026
869731485,2018-11-23 18:19:16.000,63,12,16224,"56,9419","24,15509",-1,355,34,466,416026
869731671,2018-11-23 18:19:09.000,63,1,16141,"56,94116","24,15518",-1,357,40,466,416026
869732485,2018-11-23 18:19:47.000,63,10,16312,"56,94269","24,15493",-1,342,17,466,416026
869732713,2018-11-23 18:19:38.000,63,7,16272,"56,94233","24,15504",-1,355,0,466,416026
869732873,2018-11-23 18:19:32.000,63,8,16272,"56,94233","24,15504",-1,355,0,466,416026
869732896,2018-11-23 18:19:31.000,63,6,16272,"56,94233","24,15504",-1,355,0,466,416026
869732918,2018-11-23 18:19:30.000,63,7,16272,"56,94233","24,15504",-1,355,0,466,416026
869732954,2018-11-23 18:19:29.000,63,6,16271,"56,94233","24,15503",-1,355,6,466,416026
869733091,2018-11-23 18:20:31.000,63,6,16519,"56,94274","24,1517",-1,264,0,466,416026
869733481,2018-11-23 18:20:17.000,63,12,16479,"56,94275","24,15235",-1,264,21,466,416026
869734451,2018-11-23 18:20:50.000,63,10,16564,"56,94265","24,15099",-1,263,25,466,416026
869734742,2018-11-23 18:20:38.000,63,7,16519,"56,94275","24,1517",-1,264,0,466,416026
869734848,2018-11-23 18:21:43.000,63,6,16912,"56,94232","24,14531",-1,261,0,466,416026
869735173,2018-11-23 18:21:30.000,63,12,16872,"56,94234","24,14597",-1,264,26,466,416026
869735471,2018-11-23 18:21:20.000,63,1,16793,"56,94242","24,14726",-1,262,30,466,416026
869735981,2018-11-23 18:22:09.000,63,10,16955,"56,94224","24,14464",-1,262,23,466,416026
869736321,2018-11-23 18:21:57.000,63,7,16912,"56,94232","24,14531",-1,261,0,466,416026
869736921,2018-11-23 18:22:42.000,63,12,17226,"56,94183","24,14026",-1,250,26,466,416026
869736979,2018-11-23 18:22:40.000,63,1,17205,"56,94189","24,14059",-1,246,25,466,416026
869737750,2018-11-23 18:23:18.000,63,10,17294,"56,94154","24,13929",0,243,25,466,416026
869737916,2018-11-23 18:23:13.000,63,17,17265,"56,94167","24,13971",0,238,9,466,416026
869738013,2018-11-23 18:23:10.000,63,7,17259,"56,9417","24,13978",-1,240,0,466,416026
869738366,2018-11-23 18:22:57.000,63,8,17259,"56,9417","24,13978",-1,240,0,466,416026
869738395,2018-11-23 18:22:56.000,63,6,17259,"56,9417","24,13978",-1,240,0,466,416026
869738628,2018-11-23 18:23:53.000,63,17,17553,"56,94102","24,13537",-1,298,11,466,416026
869738696,2018-11-23 18:23:50.000,63,1,17543,"56,94098","24,13551",0,294,15,466,416026
869739593,2018-11-23 18:24:23.000,63,1,17804,"56,94228","24,132",-1,293,22,466,416026
869740796,2018-11-23 18:24:42.000,63,8,17862,"56,94221","24,13108",-1,248,0,466,416026
869741101,2018-11-23 18:25:36.000,63,12,17923,"56,94213","24,13009",-2,272,23,466,416026
869741689,2018-11-23 18:25:13.000,63,1,17862,"56,94221","24,13108",-2,248,0,466,416026
869741918,2018-11-23 18:26:13.000,63,7,17961,"56,94213","24,12949",-1,270,0,466,416026
869742134,2018-11-23 18:26:04.000,63,8,17961,"56,94213","24,12949",-1,270,0,466,416026
869742158,2018-11-23 18:26:03.000,63,6,17961,"56,94213","24,12949",-1,270,0,466,416026
869742520,2018-11-23 18:25:48.000,63,8,17949,"56,94213","24,12968",-1,269,0,466,416026
869743377,2018-11-23 18:26:23.000,63,10,18002,"56,94212","24,12881",-1,271,14,466,416026
869744330,2018-11-23 18:26:54.000,63,1,18226,"56,94258","24,12542",-1,309,33,466,416026
869745199,2018-11-23 18:27:28.000,63,8,18457,"56,9439","24,12251",-1,308,0,466,416026
869745288,2018-11-23 18:27:25.000,63,1,18456,"56,9439","24,12252",-1,308,6,466,416026
869746218,2018-11-23 18:27:59.000,63,1,18457,"56,9439","24,12251",-1,308,0,466,416026
869746391,2018-11-23 18:28:58.000,63,12,18685,"56,94537","24,11988",0,322,13,466,416026
869747014,2018-11-23 18:28:35.000,63,17,18510,"56,94423","24,12186",0,314,20,466,416026
869747115,2018-11-23 18:28:32.000,63,1,18492,"56,94412","24,12209",-1,311,20,466,416026
869747453,2018-11-23 18:29:28.000,63,6,18719,"56,94558","24,11949",0,312,0,466,416026
869747901,2018-11-23 18:29:10.000,63,8,18701,"56,94547","24,11971",0,312,0,466,416026
869748421,2018-11-23 18:29:59.000,63,7,18719,"56,94558","24,11949",0,312,0,466,416026
869749204,2018-11-23 18:30:37.000,63,8,18868,"56,9465","24,11821",0,329,0,466,416026
869749857,2018-11-23 18:30:10.000,63,10,18764,"56,94585","24,11895",0,325,18,466,416026
869750152,2018-11-23 18:31:07.000,63,1,18868,"56,9465","24,11821",0,329,0,466,416026
869751165,2018-11-23 18:31:38.000,63,1,18909,"56,94686","24,11812",0,358,13,466,416026
869752318,2018-11-23 18:32:03.000,63,8,19004,"56,94752","24,11895",0,55,0,466,416026
869752647,2018-11-23 18:32:58.000,63,8,19221,"56,94901","24,11933",0,329,0,466,416026
869752965,2018-11-23 18:32:46.000,63,12,19187,"56,94875","24,11964",0,326,19,466,416026
869753297,2018-11-23 18:32:34.000,63,1,19118,"56,94821","24,12018",0,356,21,466,416026
869753629,2018-11-23 18:33:30.000,63,6,19241,"56,94912","24,11911",0,327,0,466,416026
869753653,2018-11-23 18:33:29.000,63,8,19241,"56,94912","24,11911",0,327,0,466,416026
869754643,2018-11-23 18:33:59.000,63,8,19293,"56,94949","24,11861",0,328,0,466,416026
869754880,2018-11-23 18:33:50.000,63,10,19279,"56,9494","24,11875",0,326,19,466,416026
869755105,2018-11-23 18:33:41.000,63,7,19241,"56,94912","24,11911",0,327,0,466,416026
869755262,2018-11-23 18:33:36.000,63,6,19241,"56,94912","24,11911",0,327,0,466,416026
869755283,2018-11-23 18:33:35.000,63,7,19241,"56,94912","24,11911",0,327,0,466,416026
869755473,2018-11-23 18:34:36.000,63,12,19474,"56,95089","24,1171",0,329,19,466,416026
869755633,2018-11-23 18:34:29.000,63,1,19450,"56,9507","24,11728",0,327,30,466,416026
869757036,2018-11-23 18:34:43.000,63,8,19486,"56,95098","24,11698",0,327,0,466,416026
